ENTRIESn_hourly,hour,day_week,latitude,longitude,fog,rain,precipi,pressurei,tempi,wspdi
0,0,6,40.689945,-73.872564,0,0,0,30.22,55.9,3.5
0,4,6,40.689945,-73.872564,0,0,0,30.25,52,3.5
0,12,6,40.689945,-73.872564,0,0,0,30.28,62.1,6.9
0,16,6,40.689945,-73.872564,0,0,0,30.26,57.9,15
0,20,6,40.689945,-73.872564,0,0,0,30.28,52,10.4
15,0,0,40.689945,-73.872564,0,0,0,30.31,50,6.9
19,4,0,40.689945,-73.872564,0,0,0,30.27,50,4.6
488,8,0,40.689945,-73.872564,0,0,0,30.3,53.1,10.4
490,12,0,40.689945,-73.872564,0,0,0,30.24,57,11.5
231,16,0,40.689945,-73.872564,0,0,0,30.16,59,11.5
235,20,0,40.689945,-73.872564,0,0,0,30.15,55.9,4.6
74,0,1,40.689945,-73.872564,0,0,0,30.13,54,4.6
20,4,1,40.689945,-73.872564,0,0,0,30.11,51.8,5.8
975,12,1,40.689945,-73.872564,0,0,0,30.07,60.8,9.2
267,16,1,40.689945,-73.872564,0,0,0,29.98,66,9.2
277,20,1,40.689945,-73.872564,0,0,0,29.95,62.1,11.5
83,0,2,40.689945,-73.872564,0,0,0,29.94,59,9.2
24,4,2,40.689945,-73.872564,0,0,0,29.91,60.1,0
532,8,2,40.689945,-73.872564,0,1,0.03,29.94,55.4,15
454,12,2,40.689945,-73.872564,0,1,0.03,29.96,51.1,11.5
247,16,2,40.689945,-73.872564,0,0,0,29.96,48,18.4
220,20,2,40.689945,-73.872564,0,0,0,30.01,50,16.1
59,0,3,40.689945,-73.872564,0,0,0,30.01,48.9,16.1
19,4,3,40.689945,-73.872564,0,0,0,29.98,48,12.7
995,12,3,40.689945,-73.872564,0,0,0,29.91,60.8,15
307,16,3,40.689945,-73.872564,0,0,0,29.88,63,19.6
228,20,3,40.689945,-73.872564,0,0,0,29.94,57.9,12.7
73,0,4,40.689945,-73.872564,0,0,0,29.97,55,3.5
22,4,4,40.689945,-73.872564,0,0,0,29.96,52,8.1
970,12,4,40.689945,-73.872564,0,0,0,29.94,68,16.1
286,16,4,40.689945,-73.872564,0,0,0,29.86,66.9,16.1
225,20,4,40.689945,-73.872564,0,0,0,29.86,61,12.7
82,0,5,40.689945,-73.872564,0,0,0,29.87,59,6.9
12,4,5,40.689945,-73.872564,0,0,0,29.83,55.9,4.6
0,12,5,40.689945,-73.872564,0,0,0,29.82,68,5.8
0,16,5,40.689945,-73.872564,0,0,0,29.8,66.9,15
1,20,5,40.689945,-73.872564,0,0,0,29.85,59,11.5
2,0,6,40.689945,-73.872564,0,0,0,29.86,57,3.5
0,4,6,40.689945,-73.872564,0,0,0,29.87,54,6.9
0,8,6,40.689945,-73.872564,0,0,0,29.9,60.1,9.2
0,12,6,40.689945,-73.872564,0,0,0,29.88,69.1,0
0,16,6,40.689945,-73.872564,0,0,0,29.85,69.1,8.1
0,20,6,40.689945,-73.872564,0,0,0,29.92,64,6.9
0,0,0,40.689945,-73.872564,0,0,0,29.96,57.9,6.9
9,4,0,40.689945,-73.872564,0,0,0,29.94,55.9,9.2
495,8,0,40.689945,-73.872564,0,0,0,30.01,57,11.5
443,12,0,40.689945,-73.872564,0,0,0,29.94,64,17.3
283,16,0,40.689945,-73.872564,0,0,0,29.88,66.9,19.6
208,20,0,40.689945,-73.872564,0,0,0,29.92,64,12.7
63,0,1,40.689945,-73.872564,0,0,0,29.93,57.9,12.7
25,4,1,40.689945,-73.872564,0,0,0,29.96,55,9.2
985,12,1,40.689945,-73.872564,0,0,0,29.95,66.9,13.8
156,16,1,40.689945,-73.872564,0,0,0,29.93,71.1,5.8
113,20,1,40.689945,-73.872564,0,0,0,30,55.9,8.1
43,0,2,40.689945,-73.872564,0,0,0,30.05,55,4.6
332,4,2,40.689945,-73.872564,0,0,0,30.03,55,4.6
130,8,2,40.689945,-73.872564,0,0,0,30.08,57,15
865,12,2,40.689945,-73.872564,0,0,0,30.08,63,12.7
276,16,2,40.689945,-73.872564,0,0,0,30.04,66.9,8.1
235,20,2,40.689945,-73.872564,0,0,0,30.07,61,6.9
70,0,3,40.689945,-73.872564,0,0,0,30.07,57,4.6
27,4,3,40.689945,-73.872564,0,0,0,30.09,55.4,0
231,8,3,40.689945,-73.872564,0,0,0,30.08,59,8.1
704,12,3,40.689945,-73.872564,0,0,0,30.02,66.9,5.8
287,16,3,40.689945,-73.872564,0,0,0,29.99,63,12.7
240,20,3,40.689945,-73.872564,0,0,0,30.03,55,10.4
68,0,4,40.689945,-73.872564,0,0,0,30.03,53.1,5.8
13,4,4,40.689945,-73.872564,0,0,0,29.98,53.6,0
249,8,4,40.689945,-73.872564,0,0,0,29.98,57.2,0
673,12,4,40.689945,-73.872564,0,0,0,29.96,62.1,6.9
212,16,4,40.689945,-73.872564,0,0,0,29.86,64,8.1
309,20,4,40.689945,-73.872564,0,0,0,29.88,57.9,8.1
103,0,5,40.689945,-73.872564,0,0,0,29.87,57,8.1
20,4,5,40.689945,-73.872564,0,0,0,29.85,57,8.1
308,12,5,40.689945,-73.872564,0,0,0,29.84,62.6,17.3
211,16,5,40.689945,-73.872564,0,0,0,29.8,61,12.7
129,20,5,40.689945,-73.872564,0,1,0,29.78,60.1,9.2
66,0,6,40.689945,-73.872564,0,0,0,29.74,59,6.9
27,4,6,40.689945,-73.872564,0,1,0,29.68,55.4,9.2
214,12,6,40.689945,-73.872564,0,1,0,29.61,62.6,9.2
173,16,6,40.689945,-73.872564,0,0,0,29.55,69.8,10.4
