ENTRIESn_hourly,day_hour,latitude,longitude,fog,rain,precipi,pressurei,tempi,wspdi
0,144,40.689945,-73.872564,0,0,0,30.22,55.9,3.5
0,148,40.689945,-73.872564,0,0,0,30.25,52,3.5
0,156,40.689945,-73.872564,0,0,0,30.28,62.1,6.9
0,160,40.689945,-73.872564,0,0,0,30.26,57.9,15
0,164,40.689945,-73.872564,0,0,0,30.28,52,10.4
15,0,40.689945,-73.872564,0,0,0,30.31,50,6.9
19,4,40.689945,-73.872564,0,0,0,30.27,50,4.6
488,8,40.689945,-73.872564,0,0,0,30.3,53.1,10.4
490,12,40.689945,-73.872564,0,0,0,30.24,57,11.5
231,16,40.689945,-73.872564,0,0,0,30.16,59,11.5
235,20,40.689945,-73.872564,0,0,0,30.15,55.9,4.6
74,24,40.689945,-73.872564,0,0,0,30.13,54,4.6
20,28,40.689945,-73.872564,0,0,0,30.11,51.8,5.8
975,36,40.689945,-73.872564,0,0,0,30.07,60.8,9.2
267,40,40.689945,-73.872564,0,0,0,29.98,66,9.2
277,44,40.689945,-73.872564,0,0,0,29.95,62.1,11.5
83,48,40.689945,-73.872564,0,0,0,29.94,59,9.2
24,52,40.689945,-73.872564,0,0,0,29.91,60.1,0
532,56,40.689945,-73.872564,0,1,0.03,29.94,55.4,15
454,60,40.689945,-73.872564,0,1,0.03,29.96,51.1,11.5
247,64,40.689945,-73.872564,0,0,0,29.96,48,18.4
220,68,40.689945,-73.872564,0,0,0,30.01,50,16.1
59,72,40.689945,-73.872564,0,0,0,30.01,48.9,16.1
19,76,40.689945,-73.872564,0,0,0,29.98,48,12.7
995,84,40.689945,-73.872564,0,0,0,29.91,60.8,15
307,88,40.689945,-73.872564,0,0,0,29.88,63,19.6
228,92,40.689945,-73.872564,0,0,0,29.94,57.9,12.7
73,96,40.689945,-73.872564,0,0,0,29.97,55,3.5
22,100,40.689945,-73.872564,0,0,0,29.96,52,8.1
970,108,40.689945,-73.872564,0,0,0,29.94,68,16.1
286,112,40.689945,-73.872564,0,0,0,29.86,66.9,16.1
225,116,40.689945,-73.872564,0,0,0,29.86,61,12.7
82,120,40.689945,-73.872564,0,0,0,29.87,59,6.9
12,124,40.689945,-73.872564,0,0,0,29.83,55.9,4.6
0,132,40.689945,-73.872564,0,0,0,29.82,68,5.8
0,136,40.689945,-73.872564,0,0,0,29.8,66.9,15
1,140,40.689945,-73.872564,0,0,0,29.85,59,11.5
2,144,40.689945,-73.872564,0,0,0,29.86,57,3.5
