ENTRIESn_hourly,hour,day_week,weekday,latitude,longitude,fog,rain,meanprecipi,meanpressurei,meantempi,meanwspdi
0,0,6,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,4,6,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,12,6,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,16,6,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,20,6,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
15,0,0,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
19,4,0,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
488,8,0,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
490,12,0,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
231,16,0,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
235,20,0,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
74,0,1,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
20,4,1,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
975,12,1,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
267,16,1,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
277,20,1,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
83,0,2,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
24,4,2,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
532,8,2,1,40.689945,-73.872564,0,1,0.01,29.95333333,53.93333333,11.7
454,12,2,1,40.689945,-73.872564,0,1,0.01,29.95333333,53.93333333,11.7
247,16,2,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
220,20,2,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
59,0,3,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
19,4,3,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
995,12,3,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
307,16,3,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
228,20,3,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
73,0,4,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
22,4,4,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
970,12,4,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
286,16,4,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
225,20,4,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
82,0,5,0,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
12,4,5,0,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
0,12,5,0,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
0,16,5,0,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
1,20,5,0,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
2,0,6,0,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,4,6,0,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,8,6,0,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,12,6,0,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,16,6,0,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,20,6,0,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,0,0,1,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
9,4,0,1,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
495,8,0,1,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
443,12,0,1,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
283,16,0,1,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
208,20,0,1,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
63,0,1,1,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
25,4,1,1,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
985,12,1,1,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
156,16,1,1,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
113,20,1,1,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
43,0,2,1,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
332,4,2,1,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
130,8,2,1,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
865,12,2,1,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
276,16,2,1,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
235,20,2,1,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
70,0,3,1,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
27,4,3,1,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
231,8,3,1,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
704,12,3,1,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
287,16,3,1,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
240,20,3,1,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
68,0,4,1,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
13,4,4,1,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
249,8,4,1,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
673,12,4,1,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
212,16,4,1,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
309,20,4,1,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
103,0,5,0,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
20,4,5,0,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
308,12,5,0,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
211,16,5,0,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
129,20,5,0,40.689945,-73.872564,0,1,0,29.828,59.54,11.08
66,0,6,0,40.689945,-73.872564,0,0,0,29.636,61.88,9.22
27,4,6,0,40.689945,-73.872564,0,1,0,29.636,61.88,9.22
214,12,6,0,40.689945,-73.872564,0,1,0,29.636,61.88,9.22
173,16,6,0,40.689945,-73.872564,0,0,0,29.636,61.88,9.22
110,20,6,0,40.689945,-73.872564,0,0,0,29.636,61.88,9.22
57,0,0,1,40.689945,-73.872564,0,0,0.001666667,29.69166667,56.63333333,13.63333333
15,4,0,1,40.689945,-73.872564,0,0,0.001666667,29.69166667,56.63333333,13.63333333
217,8,0,1,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
686,12,0,1,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
248,16,0,1,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
216,20,0,1,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
64,0,1,1,40.689945,-73.872564,0,0,0.003333333,29.91166667,54.81666667,15.55
23,4,1,1,40.689945,-73.872564,0,1,0.003333333,29.91166667,54.81666667,15.55
249,8,1,1,40.689945,-73.872564,0,1,0.003333333,29.91166667,54.81666667,15.55
678,12,1,1,40.689945,-73.872564,0,1,0.003333333,29.91166667,54.81666667,15.55
268,16,1,1,40.689945,-73.872564,0,0,0.003333333,29.91166667,54.81666667,15.55
194,20,1,1,40.689945,-73.872564,0,0,0.003333333,29.91166667,54.81666667,15.55
77,0,2,1,40.689945,-73.872564,0,1,0.02,29.956,56.78,14.96
15,4,2,1,40.689945,-73.872564,0,1,0.02,29.956,56.78,14.96
250,12,2,1,40.689945,-73.872564,0,0,0.02,29.956,56.78,14.96
699,16,2,1,40.689945,-73.872564,0,1,0.02,29.956,56.78,14.96
167,20,2,1,40.689945,-73.872564,0,0,0.02,29.956,56.78,14.96
362,0,3,1,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
15,4,3,1,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
963,12,3,1,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
256,16,3,1,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
243,20,3,1,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
69,0,4,1,40.689945,-73.872564,0,0,0.003333333,29.94333333,61.05,4.983333333
20,4,4,1,40.689945,-73.872564,0,0,0.003333333,29.94333333,61.05,4.983333333
233,8,4,1,40.689945,-73.872564,1,0,0.003333333,29.94333333,61.05,4.983333333
206,12,4,1,40.689945,-73.872564,0,1,0.003333333,29.94333333,61.05,4.983333333
778,16,4,1,40.689945,-73.872564,0,1,0.003333333,29.94333333,61.05,4.983333333
256,20,4,1,40.689945,-73.872564,0,0,0.003333333,29.94333333,61.05,4.983333333
70,0,5,0,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
18,4,5,0,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
385,12,5,0,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
206,16,5,0,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
135,20,5,0,40.689945,-73.872564,1,0,0,29.942,63.8,4.62
86,0,6,0,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
25,4,6,0,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
242,12,6,0,40.689945,-73.872564,0,1,0,30.12,55.74,7.38
167,16,6,0,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
87,20,6,0,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
45,0,0,1,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
15,4,0,1,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
238,8,0,1,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
681,12,0,1,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
246,16,0,1,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
197,20,0,1,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
68,0,1,1,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
21,4,1,1,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
487,8,1,1,40.689945,-73.872564,1,0,0,29.77333333,73.56666667,9.416666667
477,12,1,1,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
276,16,1,1,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
225,20,1,1,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
96,0,2,1,40.689945,-73.872564,0,0,0,29.87,72,3.466666667
20,4,2,1,40.689945,-73.872564,0,0,0,29.87,72,3.466666667
944,12,2,1,40.689945,-73.872564,0,0,0,29.87,72,3.466666667
470,0,3,1,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
16,4,3,1,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
614,8,3,1,40.689945,-73.872564,1,0,0,29.91166667,67.46666667,9.6
433,12,3,1,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
278,16,3,1,40.689945,-73.872564,1,0,0,29.91166667,67.46666667,9.6
226,20,3,1,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
92,0,4,1,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
15,4,4,1,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
899,12,4,1,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
261,16,4,1,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
227,20,4,1,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
93,0,5,0,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
16,4,5,0,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
347,12,5,0,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
228,16,5,0,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
146,20,5,0,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
86,0,6,0,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
48,4,6,0,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
263,12,6,0,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
190,16,6,0,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
120,20,6,0,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
89,0,0,1,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
25,4,0,1,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
74,8,0,1,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
261,12,0,1,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
257,16,0,1,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
146,20,0,1,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
89,0,1,1,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
26,4,1,1,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
241,8,1,1,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
680,12,1,1,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
295,16,1,1,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
203,20,1,1,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
0,0,6,0,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,4,6,0,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,8,6,0,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,12,6,0,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,16,6,0,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,20,6,0,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
54,0,0,1,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
35,4,0,1,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
960,8,0,1,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
1319,12,0,1,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
1004,16,0,1,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
505,20,0,1,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
129,0,1,1,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
37,4,1,1,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
353,8,1,1,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
2039,12,1,1,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
964,16,1,1,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
566,20,1,1,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
162,0,2,1,40.69132,-73.867135,0,0,0.0025,29.97,54.225,12.95
34,4,2,1,40.69132,-73.867135,0,0,0.0025,29.97,54.225,12.95
1916,12,2,1,40.69132,-73.867135,0,1,0.0025,29.97,54.225,12.95
1280,20,2,1,40.69132,-73.867135,0,0,0.0025,29.97,54.225,12.95
824,0,3,1,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
37,4,3,1,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
1122,8,3,1,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
1236,12,3,1,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
