ENTRIESn_hourly,day_hour,weekday,latitude,longitude,fog,rain,meanprecipi,meanpressurei,meantempi,meanwspdi
0,144,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,148,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,156,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,160,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,164,0,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
15,0,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
19,4,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
488,8,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
490,12,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
231,16,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
235,20,1,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
74,24,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
20,28,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
975,36,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
267,40,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
277,44,1,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
83,48,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
24,52,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
532,56,1,40.689945,-73.872564,0,1,0.01,29.95333333,53.93333333,11.7
454,60,1,40.689945,-73.872564,0,1,0.01,29.95333333,53.93333333,11.7
247,64,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
220,68,1,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
59,72,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
19,76,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
995,84,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
307,88,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
228,92,1,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
73,96,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
22,100,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
970,108,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
286,112,1,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
