ENTRIESn_hourly,day_hour,latitude,longitude,fog,rain,meanprecipi,meanpressurei,meantempi,meanwspdi
0,144,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,148,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,156,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,160,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
0,164,40.689945,-73.872564,0,0,0,30.258,55.98,7.86
15,0,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
19,4,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
488,8,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
490,12,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
231,16,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
235,20,40.689945,-73.872564,0,0,0,30.23833333,54.16666667,8.25
74,24,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
20,28,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
975,36,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
267,40,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
277,44,40.689945,-73.872564,0,0,0,30.048,58.94,8.06
83,48,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
24,52,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
532,56,40.689945,-73.872564,0,1,0.01,29.95333333,53.93333333,11.7
454,60,40.689945,-73.872564,0,1,0.01,29.95333333,53.93333333,11.7
247,64,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
220,68,40.689945,-73.872564,0,0,0.01,29.95333333,53.93333333,11.7
59,72,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
19,76,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
995,84,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
307,88,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
228,92,40.689945,-73.872564,0,0,0,29.944,55.72,15.22
73,96,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
22,100,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
970,108,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
286,112,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
225,116,40.689945,-73.872564,0,0,0,29.918,60.58,11.3
82,120,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
12,124,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
0,132,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
0,136,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
1,140,40.689945,-73.872564,0,0,0,29.834,61.76,8.76
2,144,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,148,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,152,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,156,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,160,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,164,40.689945,-73.872564,0,0,0,29.88,62.21666667,5.766666667
0,0,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
9,4,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
495,8,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
443,12,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
283,16,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
208,20,40.689945,-73.872564,0,0,0,29.94166667,60.95,12.86666667
63,24,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
25,28,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
985,36,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
156,40,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
113,44,40.689945,-73.872564,0,0,0,29.954,61.36,9.92
43,48,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
332,52,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
130,56,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
865,60,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
276,64,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
235,68,40.689945,-73.872564,0,0,0,30.05833333,59.65,8.65
70,72,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
27,76,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
231,80,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
704,84,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
287,88,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
240,92,40.689945,-73.872564,0,0,0,30.04666667,59.38333333,6.933333333
68,96,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
13,100,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
249,104,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
673,108,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
212,112,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
309,116,40.689945,-73.872564,0,0,0,29.94833333,57.98333333,4.816666667
103,120,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
20,124,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
308,132,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
211,136,40.689945,-73.872564,0,0,0,29.828,59.54,11.08
129,140,40.689945,-73.872564,0,1,0,29.828,59.54,11.08
66,144,40.689945,-73.872564,0,0,0,29.636,61.88,9.22
27,148,40.689945,-73.872564,0,1,0,29.636,61.88,9.22
214,156,40.689945,-73.872564,0,1,0,29.636,61.88,9.22
173,160,40.689945,-73.872564,0,0,0,29.636,61.88,9.22
110,164,40.689945,-73.872564,0,0,0,29.636,61.88,9.22
57,0,40.689945,-73.872564,0,0,0.001666667,29.69166667,56.63333333,13.63333333
15,4,40.689945,-73.872564,0,0,0.001666667,29.69166667,56.63333333,13.63333333
217,8,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
686,12,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
248,16,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
216,20,40.689945,-73.872564,0,1,0.001666667,29.69166667,56.63333333,13.63333333
64,24,40.689945,-73.872564,0,0,0.003333333,29.91166667,54.81666667,15.55
23,28,40.689945,-73.872564,0,1,0.003333333,29.91166667,54.81666667,15.55
249,32,40.689945,-73.872564,0,1,0.003333333,29.91166667,54.81666667,15.55
678,36,40.689945,-73.872564,0,1,0.003333333,29.91166667,54.81666667,15.55
268,40,40.689945,-73.872564,0,0,0.003333333,29.91166667,54.81666667,15.55
194,44,40.689945,-73.872564,0,0,0.003333333,29.91166667,54.81666667,15.55
77,48,40.689945,-73.872564,0,1,0.02,29.956,56.78,14.96
15,52,40.689945,-73.872564,0,1,0.02,29.956,56.78,14.96
250,60,40.689945,-73.872564,0,0,0.02,29.956,56.78,14.96
699,64,40.689945,-73.872564,0,1,0.02,29.956,56.78,14.96
167,68,40.689945,-73.872564,0,0,0.02,29.956,56.78,14.96
362,72,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
15,76,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
963,84,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
256,88,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
243,92,40.689945,-73.872564,0,0,0,29.972,63.4,9.68
69,96,40.689945,-73.872564,0,0,0.003333333,29.94333333,61.05,4.983333333
20,100,40.689945,-73.872564,0,0,0.003333333,29.94333333,61.05,4.983333333
233,104,40.689945,-73.872564,1,0,0.003333333,29.94333333,61.05,4.983333333
206,108,40.689945,-73.872564,0,1,0.003333333,29.94333333,61.05,4.983333333
778,112,40.689945,-73.872564,0,1,0.003333333,29.94333333,61.05,4.983333333
256,116,40.689945,-73.872564,0,0,0.003333333,29.94333333,61.05,4.983333333
70,120,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
18,124,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
385,132,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
206,136,40.689945,-73.872564,0,0,0,29.942,63.8,4.62
135,140,40.689945,-73.872564,1,0,0,29.942,63.8,4.62
86,144,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
25,148,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
242,156,40.689945,-73.872564,0,1,0,30.12,55.74,7.38
167,160,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
87,164,40.689945,-73.872564,0,0,0,30.12,55.74,7.38
45,0,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
15,4,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
238,8,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
681,12,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
246,16,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
197,20,40.689945,-73.872564,0,0,0,30.01666667,59.55,8.85
68,24,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
21,28,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
487,32,40.689945,-73.872564,1,0,0,29.77333333,73.56666667,9.416666667
477,36,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
276,40,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
225,44,40.689945,-73.872564,0,0,0,29.77333333,73.56666667,9.416666667
96,48,40.689945,-73.872564,0,0,0,29.87,72,3.466666667
20,52,40.689945,-73.872564,0,0,0,29.87,72,3.466666667
944,60,40.689945,-73.872564,0,0,0,29.87,72,3.466666667
470,72,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
16,76,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
614,80,40.689945,-73.872564,1,0,0,29.91166667,67.46666667,9.6
433,84,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
278,88,40.689945,-73.872564,1,0,0,29.91166667,67.46666667,9.6
226,92,40.689945,-73.872564,0,0,0,29.91166667,67.46666667,9.6
92,96,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
15,100,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
899,108,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
261,112,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
227,116,40.689945,-73.872564,0,0,0,29.928,71.82,7.62
93,120,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
16,124,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
347,132,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
